Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",185.500000,-111.000000,0.000000,top
"C2","0.1uF","C_0805_2012Metric",182.250000,-111.750000,90.000000,top
"C3","22uF","C_1206_3216Metric",189.000000,-111.500000,90.000000,top
"C5","22uF","C_1206_3216Metric",189.000000,-121.750000,90.000000,top
"C6","220uF","CP_Elec_6.3x7.7",180.000000,-121.750000,180.000000,top
"C7","10uF","C_0805_2012Metric",180.000000,-116.250000,270.000000,top
"D1","B220A","D_SMA",192.250000,-121.750000,270.000000,top
"D2","RB060T","D_SOD-123",186.250000,-121.750000,270.000000,top
"J1","Conn_01x03","JST-SR-3",170.000000,-117.500000,270.000000,top
"L1","22uH","L_12x12mm_H6mm",201.000000,-117.500000,270.000000,top
"Q1","AO3400","SOT-23",179.000000,-111.750000,90.000000,top
"R1","470","R_0805_2012Metric",188.750000,-116.250000,90.000000,top
"R2","100K","R_0805_2012Metric",185.500000,-117.000000,0.000000,top
"R3","100K","R_0805_2012Metric",175.750000,-111.750000,270.000000,top
"R4","100K","R_0805_2012Metric",192.250000,-110.500000,180.000000,top
"R5","16K","R_0805_2012Metric",192.250000,-112.750000,180.000000,top
"R6","270k","R_0805_2012Metric",182.250000,-116.250000,270.000000,top
"R7","100","R_0805_2012Metric",177.750000,-116.250000,270.000000,top
"U1","MIC2009A-1","SOT-23-6",185.500000,-114.000000,0.000000,top
"U3","MIC2250-2","SOT-23-5",192.000000,-116.000000,0.000000,top
